# to elev, r, g, b
#-20, 255,0,0
#-1, 255,165,0
#0,255,255,0
#1,0,128,0
#20,0,0,255
#40,75,0,130
#60,143,0,255
#100,238,130,238
#200,255,0,255
#300,255,127,0
#500,255,215,0
#700,173,255,47
#900,0,255,0
#1200,0,250,154
#1500,173,216,230
#2000,30,144,255
#2500,0,191,255
#3000,127,255,212
#3500,240,255,255
#4000,255,255,255
-1,0,0,128
0,0,0,139
1,0,128,255
10,0,191,255
30,0,100,0
50,34,139,34
70,50,205,50
100,85,107,47
150,154,205,50
200,189,183,107
250,255,255,0
300,238,232,170
350,255,165,0
400,255,140,0
450,255,127,80
500,255,69,0
600,210,180,140
700,160,82,45
800,139,69,19
900,128,64,0
1000,112,128,144
1200,119,136,153
1400,169,169,169
1600,192,192,192
1800,211,211,211
2000,220,220,220
2250,230,230,250
2500,240,248,255
2750,245,245,245
3000,250,250,250
3500,255,255,255
4000,255,250,250
4500,255,245,245
5000,255,240,240
10000,255,255,255
